0.	4.e-6
1.	0.000022
2.	0.00003
3.	0.00004
4.	0.000044
5.	0.000072
6.	0.00007
7.	0.000102
8.	0.000102
9.	0.000134
10.	0.000132
11.	0.000154
12.	0.000176
13.	0.00023
14.	0.000294
15.	0.000326
16.	0.00044
17.	0.000456
18.	0.000528
19.	0.000706
20.	0.000828
21.	0.001132
22.	0.001372
23.	0.001844
24.	0.002398
25.	0.003198
26.	0.004558
27.	0.00631
28.	0.009574
29.	0.01441
30.	0.023196
31.	0.038718
32.	0.06881
33.	0.120816
34.	0.18446
35.	0.185836
36.	0.12334
37.	0.072078
38.	0.04199
39.	0.025816
40.	0.016402
41.	0.011078
42.	0.007696
43.	0.005658
44.	0.00424
45.	0.003172
46.	0.002412
47.	0.00192
48.	0.001614
49.	0.001274
50.	0.001158
51.	0.000906
52.	0.000784
53.	0.000636
54.	0.000556
55.	0.00047
56.	0.000406
57.	0.000396
58.	0.000344
59.	0.000302
60.	0.000246
61.	0.000252
62.	0.000262
63.	0.000182
64.	0.00021
65.	0.000128
66.	0.000156
67.	0.000158
68.	0.000144
69.	0.00014
70.	0.00011
71.	0.000098
72.	0.000078
73.	0.000102
74.	0.00011
75.	0.000096
76.	0.000078
77.	0.000078
78.	0.000074
79.	0.000078
80.	0.000058
81.	0.000046
82.	0.00004
83.	0.00005
84.	0.00004
85.	0.000026
86.	0.00001
87.	8.e-6
88.	2.e-6
89.	2.e-10
